hmm,frame,x [nm],y [nm],sigma [nm],intensity [photon],offset [photon],bkgstd [photon],uncertainty [nm]
1,11,9168.599144,18725.04857,121.2870953,8337.120729,37.91678079,36.15329549,3.567664904
1,11,10175.00624,28444.1921,123.8551104,4611.584896,25.15245871,25.74277001,4.804497188
1,11,11701.45361,5674.130455,115.9963579,3763.162843,27.13826755,22.02802046,4.511507966
1,11,12391.05408,15177.79944,116.1126693,14031.60989,66.75358298,65.2599945,3.394002092
1,11,13040.54368,30833.74365,122.4629741,9839.611648,42.2443126,46.88285358,3.904230331
1,11,13106.76582,27998.61813,121.9627148,12035.16751,47.83648361,67.81875545,4.479768766
1,11,14835.27174,24326.04579,126.8163877,4508.603604,23.76937495,28.62049053,5.619686078
1,11,15344.66544,16745.767,117.6980039,6065.18684,37.66311603,34.69553587,4.380304891
1,11,17385.12345,16986.45221,127.3753331,13828.26157,55.77807639,66.76835652,4.197908695
1,11,18389.05714,15891.35493,126.4024121,8471.750033,44.2387575,45.44835224,4.647951498
1,11,18494.04432,19647.61567,122.6587332,9083.420738,54.83685153,45.45941668,4.109331095
1,11,18955.06724,28304.30932,124.3613645,4451.336685,34.68876527,28.27797143,5.425381691
1,11,19361.4347,29744.72625,124.2768863,8729.572956,51.39634461,43.41658739,4.19762351
1,11,20355.25428,20603.84532,126.3300127,20907.75311,68.84525252,133.1300728,5.327758049
1,11,20781.7585,30965.82095,124.4916453,7053.419206,36.74648515,39.96737673,4.786283496
1,11,21461.22792,3930.839377,126.5445519,6366.651065,33.10221657,40.44272699,5.502526396
1,11,24319.80373,22561.63313,122.7445358,19685.42479,94.34452394,121.7013465,4.896882638
1,11,31578.19757,26423.20001,116.8544733,3377.677628,27.8111622,22.32803045,5.102844328
1,11,32422.73305,21490.47949,124.914631,4178.97555,34.00574411,33.56385994,6.773003847
1,12,4050.280645,17098.52641,121.5262705,4237.542649,23.72086604,25.49982533,4.976680415
1,12,6483.541254,14901.8544,116.4770718,3246.285278,26.32036431,18.2213921,4.462131497
1,12,7074.537067,24233.22862,123.7275696,4369.701159,26.13999867,28.59331657,5.521417017
1,12,7789.595386,13523.19103,118.3239989,7980.821918,40.18579869,40.87286887,3.947839668
1,12,7857.245178,25490.57681,126.0540031,6243.530947,36.36228613,39.2098775,5.410067054
1,12,9166.799538,18723.58322,123.6043575,8717.174274,36.34136846,43.15062849,4.137650831
1,12,9754.583515,9599.196876,125.4860979,6134.601612,30.06756568,32.86611061,4.658926066
1,12,10167.96624,28439.08914,124.5672882,4732.455836,23.7014343,24.54321014,4.554423735
1,12,11696.67905,5675.249633,110.51117,3558.09484,26.61046825,25.91676333,4.978950499
1,12,12384.6618,15178.86291,120.3590038,14942.68681,69.52450063,78.01102899,4.037312101
1,12,13029.96513,30828.18959,125.5339486,10407.18561,42.13324166,54.08333024,4.416324851
1,12,13105.34985,27994.86309,121.4456797,12339.16219,47.08113234,79.79565407,5.055606584
1,12,15333.66806,16745.19553,118.1494024,5957.038094,36.5234967,36.28245581,4.66730552
1,12,18488.52471,19644.14704,121.3546101,9939.744617,57.93091407,63.51758258,5.02169968
1,12,18950.95904,28295.82279,126.1337357,4996.543504,36.05658709,28.14386838,4.979174108
1,12,19357.41492,29739.14518,124.7298768,9602.812673,51.53509198,57.24792155,4.967811871
1,12,21457.4408,3927.565133,126.8305547,6392.44699,36.04626895,42.21981702,5.72619212
1,12,24317.32202,22558.28613,124.2393742,19277.33613,91.41432206,121.1654456,5.09737285
1,12,31577.54258,26423.0763,120.528865,3552.82094,26.86222867,25.59172235,5.792991589
1,13,4045.268728,17094.62231,123.7738989,4657.839605,25.44838707,25.71648276,4.750544934
1,13,6467.639224,14901.49719,118.7998562,3417.383163,24.82463931,18.07029033,4.385875251
1,13,7067.592733,24235.2138,125.7517345,4629.640811,26.63610619,26.68497437,5.077086454
1,13,7783.375798,13523.25747,124.0376712,8346.057431,36.36622983,40.5394307,4.105499277
1,13,9158.583146,18723.31307,126.3384125,8537.271427,36.30786693,37.56445766,3.890573426
1,13,9706.757837,30594.45148,118.2183323,2687.630358,21.69814711,18.69644688,5.54427546
1,13,11692.57298,5671.762968,117.6277997,3939.015471,27.53866693,29.26186722,5.650858564
1,13,12379.94236,15177.06997,118.3904174,15533.28431,70.77896485,97.39001789,4.645555566
1,13,13025.17011,30828.27,126.5766619,11223.26287,43.06343946,64.3860432,4.905454424
1,13,13094.99831,27991.89853,125.2280405,13061.56012,47.28886232,75.65457312,4.826925081
1,13,15331.31645,16746.25494,123.4280849,6186.269115,36.09293264,36.05381956,4.862757923
1,13,18485.17737,19641.13255,126.4915383,10719.60637,59.53287578,68.17589118,5.406049411
1,13,19371.69091,26915.783,126.7636974,26408.48953,117.3381228,133.103719,4.261406814
1,13,19348.88673,29742.88314,125.79101,8777.61449,48.54093477,52.13383132,5.04825826
1,13,20772.50295,30957.30469,126.6846622,8240.907171,37.69415146,53.83137545,5.603547595
1,14,4060.963869,17100.72439,123.0268499,4351.058771,23.59618367,27.92661824,5.372807869
1,14,6491.405347,14900.79894,116.3737908,3093.867968,24.49575508,20.04409521,5.01933805
1,14,7088.377976,24245.93507,125.8973438,4516.068346,27.2001127,27.63689783,5.367955629
1,14,7799.330841,13534.73403,122.2180522,7959.465253,38.54023968,39.34825261,4.067004479
1,14,7871.948287,25502.81192,124.0584854,6443.388688,40.38098891,40.57442534,5.253472626
1,14,9177.442849,18728.19268,121.9653926,8358.483765,39.12622975,44.84185653,4.345743771
1,14,9778.732079,9604.575304,122.5905325,6098.673084,33.90069193,37.36125128,5.023326944
1,14,10193.58022,28448.31571,114.9598218,4548.95696,28.12963622,27.31058438,4.460207731
1,14,11711.36295,5682.657421,113.0615405,3788.054804,27.02724335,25.69682278,4.864874712
1,14,12395.62634,15181.3559,119.5106493,14230.63991,66.06647866,65.06192578,3.528295582
1,14,13041.9344,30836.43115,123.7228022,9887.754196,43.93099126,42.7705234,3.652160905
1,14,13111.25996,28003.48126,119.6015972,13393.19032,53.74319414,78.47948779,4.46019247
1,14,15346.49274,16754.05366,116.6601406,5988.232739,39.1663482,36.49903733,4.558939335
1,14,17395.76847,16991.91414,122.825845,12760.5707,62.13380199,74.99541673,4.71614488
1,14,18504.93022,19648.86172,117.4794539,9478.929093,58.53359189,59.22599875,4.626227304
1,14,18967.24749,28300.86367,118.4572966,4463.944594,38.67961101,24.68046986,4.404131947
1,14,19365.42948,29745.72987,122.0501594,8774.218664,49.37706925,49.48583712,4.543204806
1,14,20365.53012,20607.80769,122.7670173,20531.08494,73.59162035,135.7991361,5.226656435
1,14,20784.38357,30968.78362,123.6401119,6724.125416,36.84374755,43.49228147,5.33899294
1,14,21267.68678,15095.79754,125.6740721,12851.63645,58.95426346,80.13907885,5.215263732
1,14,21463.38106,3930.017041,127.2732633,6496.387328,35.28655586,40.78821637,5.499409851
1,14,23026.50943,29003.2968,125.8197609,9884.144364,39.91123487,47.14576423,4.112288052
1,14,31587.69716,26421.54185,120.384328,3471.608319,26.21079293,18.90565284,4.586751176
1,14,32437.36719,21493.83211,122.511188,4195.387123,34.79119134,28.98358897,5.699364049
1,15,4052.055498,17094.12352,117.9922319,4121.393828,25.18308681,21.72626381,4.237450779
1,15,6478.921571,14903.51287,115.7703309,3197.208676,24.7269801,18.6388831,4.554624942
1,15,7074.161254,24245.97503,124.8044177,4353.120749,25.05318159,26.26588406,5.229926082
1,15,7791.073071,13530.99211,120.3309111,7808.398768,37.14949541,41.1172253,4.18129701
1,15,7854.832502,25494.65602,126.4544938,6644.639143,39.26917732,42.34312145,5.501033338
1,15,9174.765998,18730.23081,121.865766,8164.925229,36.666894,42.74087913,4.249557672
1,15,9760.499358,9602.151095,127.2474483,6601.734846,30.80647627,35.7084736,4.802121208
1,15,10177.29635,28442.76736,125.7757756,4846.876261,25.77727686,26.67341208,4.865247253
1,15,11699.13003,5685.180368,114.2899697,3758.132596,25.793241,18.61875425,3.85624647
1,15,12393.47758,15179.71889,114.7542654,13620.67473,70.4769985,64.39747772,3.373198423
1,15,13034.73913,30837.49482,122.2170853,9901.390084,43.19957417,49.70967683,4.075448171
1,15,13098.95388,27997.50851,124.8027224,13687.8512,47.89970441,85.30546438,5.134664073
1,15,14431.0915,20428.35987,122.0527311,14171.75751,68.73794492,82.06844641,4.580976926
1,15,15339.21512,16744.83425,124.0347303,6566.939798,33.39602759,38.22047789,4.886512905
1,15,17386.48949,16990.04008,124.448483,13038.90865,59.33976019,80.33750657,5.056724768
1,15,18384.97483,15893.41116,125.5974763,8642.724495,44.1840233,47.82470566,4.718970746
1,15,18497.53867,19645.71847,120.8278525,9755.594751,55.51240721,56.24802156,4.528072691
1,15,18967.2219,28301.77337,114.7913,4290.276634,37.00651584,24.8193507,4.333122167
1,15,19363.22966,29740.786,122.7893626,8906.687458,47.71115331,50.92055316,4.650564911
1,15,20362.01583,20605.84481,122.5713825,20027.91922,73.49346163,140.144336,5.505484949
1,15,21258.0878,15093.87861,127.3373998,13534.46545,53.75743185,87.69429586,5.544329447
1,15,21464.11342,3930.240556,124.4306764,6654.545293,35.61649621,39.85079952,5.040664146
1,15,23020.45904,28996.82849,125.664637,9427.212632,40.89273632,56.30086459,5.051377006
1,15,24318.7287,22565.26564,124.3991115,19226.51806,83.46446388,119.2460327,5.045026707
1,15,31581.33526,26429.10306,120.1734762,3339.9892,27.15181576,21.38377991,5.233935338
1,15,32424.18538,21498.13553,119.9346301,4326.922361,35.00225379,33.91942036,6.121206057
1,16,4057.699005,17096.20891,118.7678314,4221.525132,25.85204462,26.41295694,4.932854762
1,16,6480.476687,14896.90298,119.8351139,3085.192057,24.03782716,17.52749877,4.763173345
1,16,7077.418375,24240.06323,127.0319826,3992.806736,25.95545479,26.16830372,5.840835098
1,16,7795.818011,13526.84678,119.2335405,7399.518373,38.90124468,37.9144321,4.025078131
1,16,7859.839997,25499.35124,126.6448754,6970.673015,37.69191385,39.82978616,4.984751087
1,16,9176.700291,18727.76866,120.6623602,7814.778616,36.97437136,42.20962345,4.299069024
1,16,9762.783947,9601.380151,126.5372533,6010.770012,29.33995938,32.63895325,4.794414653
1,16,10184.98159,28444.59392,122.8660856,4472.79755,24.57595413,22.4943616,4.352766817
1,16,11706.93165,5676.639261,115.3280915,3732.188566,27.74162217,21.49934742,4.410707748
1,16,12398.64932,15180.1261,112.230281,13254.66217,67.67492435,61.65880982,3.19058954
1,16,13042.86346,30837.88782,119.326559,9756.315998,43.69146998,46.17127554,3.697105286
1,16,13109.10071,27999.39368,120.332982,13747.88103,55.71867469,98.17216667,5.446936093
1,16,15338.77361,16750.68139,119.121387,6488.355152,40.02942914,35.60247888,4.301342141
1,16,17387.07852,16987.26806,127.026255,13286.74197,56.88454589,77.53233783,4.99543607
1,16,18500.00701,19648.51788,118.7854461,9119.950123,59.35743264,51.16449874,4.286147909
